modelo,caso,cobertura,cubiertos,esperados,cves_no_fundamentados,latencia_s,tokens_prompt,tokens_respuesta,coste_estimado
free,case01_metasploitable,0.917,11,12,0,33.604,398,1742,
free,case02_webserver,1.0,7,7,2,5.149,338,1200,
free,case03_windows,1.0,5,5,0,36.332,358,1919,
free,case04_limpio,1.0,3,3,0,26.45,311,1200,
deepseek,case01_metasploitable,1.0,12,12,0,23.31,379,747,0.000262
deepseek,case02_webserver,1.0,7,7,2,24.37,328,583,0.000209
deepseek,case03_windows,0.8,4,5,0,23.223,340,672,0.000236
deepseek,case04_limpio,1.0,3,3,0,17.899,295,500,0.000181
qwen,case01_metasploitable,1.0,12,12,0,37.969,406,932,0.000515
qwen,case02_webserver,1.0,7,7,0,41.359,355,862,0.000469
qwen,case03_windows,1.0,5,5,1,41.233,366,1010,0.000532
qwen,case04_limpio,1.0,3,3,0,31.983,317,703,0.000392
llama,case01_metasploitable,1.0,12,12,0,8.015,390,533,0.000277
llama,case02_webserver,1.0,7,7,0,6.927,344,457,0.00024
llama,case03_windows,0.8,4,5,0,10.863,350,364,0.000214
llama,case04_limpio,0.667,2,3,0,6.618,310,224,0.00016
mistral,case01_metasploitable,1.0,12,12,6,15.385,387,1200,0.007974
mistral,case02_webserver,1.0,7,7,2,19.923,332,1200,0.007864
mistral,case03_windows,1.0,5,5,1,17.204,347,1200,0.007894
mistral,case04_limpio,1.0,3,3,2,16.727,292,1200,0.007784
